"date","USDPHP","BDO","ICT","SM","AAPL_PHP","MSFT_PHP","BTC_PHP","SPY_PHP"
2020-05-14,50.535,96.8,82,810,3783.141063,8647.34706,491893.6261095,13203.9414585
2020-05-18,50.893,90,82,803,3876.6521318,8919.8939668,495014.5916536,13765.5131935
2020-05-19,50.685,93,84.5,810,3838.496694,8821.9421955,493116.2960985,13568.435322
2020-05-20,50.65,93,84,820,3910.448445,8938.13459,482339.00791,13789.41185
2020-05-21,50.78,92,84.5,835,3891.256166,8853.44222,461171.859126,13729.358132
2020-05-26,50.55,85.9,85.3,838,3872.16033,8723.974605,446611.913985,13861.836165
2020-05-27,50.71,87,85,837,3901.343424,8763.154532,465569.402496,14112.613284
2020-05-28,50.635,90.35,84,836,3897.2898705,8730.4613825,482336.401885,14065.744745
2020-06-01,50.42,99,88.45,920,3924.637338,8761.922054,512633.682812,14125.284008
2020-06-02,50.0532,98,90,946,3914.12019744,8797.14020856,476997.17055684,14138.63251572
2020-06-03,49.895,102.4,95.9,945,3923.233871,8790.6757325,481821.934631,14281.5206925
2020-06-04,49.9,109,105.6,997,3889.83474,8675.82857,489051.77133,14245.42705
2020-06-08,49.828,107,102,950,4018.4687504,8920.9509972,486893.7688404,14765.8003112
2020-06-09,49.8262,110.5,107,950,4145.21098708,8988.83083694,488082.51730524,14655.16595334
2020-06-10,49.815,105.5,104,935,4250.903247,9320.147388,491678.7674805,14570.1153675
2020-06-11,50.2909,105,103.1,951,4085.47681421,8903.92337956,468800.76615108,13861.33375979
2020-06-15,50.235,99,99.6,915,4167.073626,9021.512757,474756.0199935,14142.549033
2020-06-16,49.97,102.4,105,940,4254.9455,9193.83039,476615.079268,14338.716605
2020-06-17,50.15,100.1,103.1,956,4264.329725,9258.888585,475434.783235,14330.59319
2020-06-18,50.17,100,101,963,4267.726101,9361.767153,472192.052936,14341.826982
2020-06-22,50.14,99,100,960,4351.755894,9558.71467,483786.710492,14342.767616
2020-06-23,50.045,102.7,100.5,935,4436.2240115,9604.3411345,481916.244619,14381.491704
2020-06-24,50.11,100.1,100.8,937,4363.573789,9422.965016,466705.017144,14032.844488
2020-06-25,49.975,97.1,101.5,930,4409.5941,9516.3344525,463009.0546625,14145.073925
2020-06-29,49.685,94,101,915,4347.2337915,9371.3809915,456647.6058325,13930.7548275
2020-06-30,49.6971,98,102.5,939,4384.59125373,9613.15356879,454131.76185972,14112.6345783
2020-07-01,49.6903,97.9,100.1,920,4375.69800382,9668.0429098,458558.24768556,14209.55247569
2020-07-02,49.545,100.5,103.5,950,4362.902973,9713.237796,452019.358359,14246.0256195
2020-07-06,49.305,97.5,105,940,4457.911575,9874.263045,462257.775153,14395.8717495
2020-07-07,49.515,98,102.5,949,4463.0097675,9801.0139545,458126.5105095,14308.0772175
2020-07-08,49.55,95.6,100,975.5,4570.179835,10023.642925,467173.90015,14427.70143
2020-07-09,49.45,96.1,99.45,945,4580.57328,10073.44961,458795.50771,14316.61565
2020-07-13,49.435,91.5,98.25,940,4566.0291705,9729.7324345,456958.0729205,14333.213561
2020-07-14,49.415,92.85,96.55,935,4639.712712,9785.9143495,456753.4148685,14513.0817285
2020-07-15,49.5,89.5,93,911,4679.65575,9788.1597,455045.42655,14671.6119
2020-07-16,49.545,92.8,97,933,4626.2792385,9603.039807,452456.2114875,14636.5888545
2020-07-20,49.36,93,97,940,4696.623744,9927.500384,452346.461904,14742.395624
2020-07-21,49.37,91.2,101,925,4632.742564,9795.773235,462838.205749,14776.752031
2020-07-22,49.4,91.9,99,915,4648.57952,9942.5898,470552.94702,14869.894
2020-07-23,49.48,92,98,900,4444.179796,9525.54324,474071.457404,14716.262432
